"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","track_name","spotify_track_name"
0.335,0.625,7,-7.462,1,0.0386,0.164,0,0.0708,0.346,150.277,"audio_features","0bYg9bo50gSsH3LtXe2SQn","spotify:track:0bYg9bo50gSsH3LtXe2SQn","https://api.spotify.com/v1/tracks/0bYg9bo50gSsH3LtXe2SQn","https://api.spotify.com/v1/audio-analysis/0bYg9bo50gSsH3LtXe2SQn",241107,4,"all i want for christmas is you","all i want for christmas is you"
0.589,0.472,8,-8.749,1,0.0502,0.614,0,0.505,0.898,67.196,"audio_features","2EjXfH91m7f8HiJN1yQg97","spotify:track:2EjXfH91m7f8HiJN1yQg97","https://api.spotify.com/v1/tracks/2EjXfH91m7f8HiJN1yQg97","https://api.spotify.com/v1/audio-analysis/2EjXfH91m7f8HiJN1yQg97",126267,4,"rockin' around the christmas tree","rockin' around the christmas tree"
0.754,0.424,2,-8.463,1,0.0363,0.643,0,0.0652,0.806,119.705,"audio_features","3hBXvHLlTHvnbwrPbeoyAj","spotify:track:3hBXvHLlTHvnbwrPbeoyAj","https://api.spotify.com/v1/tracks/3hBXvHLlTHvnbwrPbeoyAj","https://api.spotify.com/v1/audio-analysis/3hBXvHLlTHvnbwrPbeoyAj",130973,4,"jingle bell rock","jingle bell rock"
0.665,0.398,0,-11.886,1,0.03,0.685,0,0.172,0.864,140.456,"audio_features","2vQwQs4WspaVM3XBjCVWj4","spotify:track:2vQwQs4WspaVM3XBjCVWj4","https://api.spotify.com/v1/tracks/2vQwQs4WspaVM3XBjCVWj4","https://api.spotify.com/v1/audio-analysis/2vQwQs4WspaVM3XBjCVWj4",133547,4,"a holly jolly christmas","a holly jolly christmas"
0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,"audio_features","21jGcNKet2qwijlDFuPiPb","spotify:track:21jGcNKet2qwijlDFuPiPb","https://api.spotify.com/v1/tracks/21jGcNKet2qwijlDFuPiPb","https://api.spotify.com/v1/audio-analysis/21jGcNKet2qwijlDFuPiPb",215280,4,"circles","circles"
0.621,0.601,6,-5.616,0,0.148,0.0522,0,0.46,0.457,116.735,"audio_features","696DnlkuDOXcMAnKlTgXXK","spotify:track:696DnlkuDOXcMAnKlTgXXK","https://api.spotify.com/v1/tracks/696DnlkuDOXcMAnKlTgXXK","https://api.spotify.com/v1/audio-analysis/696DnlkuDOXcMAnKlTgXXK",163636,5,"roxanne","roxanne"
0.24,0.598,7,-8.435,1,0.037,0.766,0,0.117,0.776,202.082,"audio_features","5hslUAKq9I9CG2bAulFkHN","spotify:track:5hslUAKq9I9CG2bAulFkHN","https://api.spotify.com/v1/tracks/5hslUAKq9I9CG2bAulFkHN","https://api.spotify.com/v1/audio-analysis/5hslUAKq9I9CG2bAulFkHN",151933,3,"it's the most wonderful time of the year","it's the most wonderful time of the year"
0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,"audio_features","7qEHsqek33rTcFNT9PFqLf","spotify:track:7qEHsqek33rTcFNT9PFqLf","https://api.spotify.com/v1/tracks/7qEHsqek33rTcFNT9PFqLf","https://api.spotify.com/v1/audio-analysis/7qEHsqek33rTcFNT9PFqLf",182161,4,"someone you loved","someone you loved"
0.764,0.32,11,-7.209,1,0.0546,0.837,0,0.0822,0.575,91.019,"audio_features","2b8fOow8UzyDFAE27YhOZM","spotify:track:2b8fOow8UzyDFAE27YhOZM","https://api.spotify.com/v1/tracks/2b8fOow8UzyDFAE27YhOZM","https://api.spotify.com/v1/audio-analysis/2b8fOow8UzyDFAE27YhOZM",189486,4,"memories","memories"
0.682,0.919,0,-3.18,0,0.0875,0.256,0,0.442,0.535,95.982,"audio_features","6KgBpzTuTRPebChN0VTyzV","spotify:track:6KgBpzTuTRPebChN0VTyzV","https://api.spotify.com/v1/tracks/6KgBpzTuTRPebChN0VTyzV","https://api.spotify.com/v1/audio-analysis/6KgBpzTuTRPebChN0VTyzV",159736,4,"good as hell","good as hell"
0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,"audio_features","21jGcNKet2qwijlDFuPiPb","spotify:track:21jGcNKet2qwijlDFuPiPb","https://api.spotify.com/v1/tracks/21jGcNKet2qwijlDFuPiPb","https://api.spotify.com/v1/audio-analysis/21jGcNKet2qwijlDFuPiPb",215280,4,"circles","circles"
0.764,0.32,11,-7.209,1,0.0546,0.837,0,0.0822,0.575,91.019,"audio_features","2b8fOow8UzyDFAE27YhOZM","spotify:track:2b8fOow8UzyDFAE27YhOZM","https://api.spotify.com/v1/tracks/2b8fOow8UzyDFAE27YhOZM","https://api.spotify.com/v1/audio-analysis/2b8fOow8UzyDFAE27YhOZM",189486,4,"memories","memories"
0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,"audio_features","0nbXyq5TXYPCO7pr3N8S4I","spotify:track:0nbXyq5TXYPCO7pr3N8S4I","https://api.spotify.com/v1/tracks/0nbXyq5TXYPCO7pr3N8S4I","https://api.spotify.com/v1/audio-analysis/0nbXyq5TXYPCO7pr3N8S4I",196653,4,"the box","the box"
