week;rank;rise;rise_nb;name;artist;last_week;peak;week_chart
"
                January 4, 2020
                ";1;Steady;-;All I Want For Christmas Is You;Mariah Carey;1;1;37
"
                January 4, 2020
                ";2;Steady;-;Rockin' Around The Christmas Tree;Brenda Lee;2;2;32
"
                January 4, 2020
                ";3;Rising;+6;Jingle Bell Rock;Bobby Helms;9;3;30
"
                January 4, 2020
                ";4;Rising;+2;A Holly Jolly Christmas;Burl Ives;6;4;15
"
                January 4, 2020
                ";5;Failing;-2;Circles;Post Malone;3;1;17
"
                January 4, 2020
                ";6;Failing;-2;Roxanne;Arizona Zervas;4;4;8
"
                January 4, 2020
                ";7;Rising;+8;It's The Most Wonderful Time Of The Year;Andy Williams;15;7;15
"
                January 4, 2020
                ";8;Steady;-;Someone You Loved;Lewis Capaldi;8;1;33
"
                January 4, 2020
                ";9;Failing;-2;Memories;Maroon 5;7;4;14
"
                January 4, 2020
                ";10;Steady;-;Good As Hell;Lizzo;10;3;18
"
                January 4, 2020
                ";11;Rising;+6;Last Christmas;Wham!;17;11;14
"
                January 4, 2020
                ";12;Rising;+11;Feliz Navidad;Jose Feliciano;23;12;9
"
                January 4, 2020
                ";13;Rising;+5;The Box;Roddy Ricch;18;13;3
"
                January 4, 2020
                ";14;Failing;-3;Dance Monkey;Tones And I;11;9;12
"
                January 4, 2020
                ";15;Rising;+13;Let It Snow, Let It Snow, Let It Snow;Dean Martin;28;15;8
"
                January 4, 2020
                ";16;Rising;+14;The Christmas Song (Merry Christmas To You);Nat King Cole;30;11;21
"
                January 4, 2020
                ";17;Failing;-4;10,000 Hours;Dan + Shay & Justin Bieber;13;4;12
"
                January 4, 2020
                ";18;Failing;-6;Lose You To Love Me;Selena Gomez;12;1;10
"
                January 4, 2020
                ";19;Failing;-5;Ballin';Mustard & Roddy Ricch;14;14;23
"
                January 4, 2020
                ";20;Failing;-4;BOP;DaBaby;16;11;13
"
                January 4, 2020
                ";21;Rising;+16;Sleigh Ride;The Ronettes;37;21;7
"
                January 4, 2020
                ";22;Rising;+14;Rudolph The Red-Nosed Reindeer;Gene Autry;36;16;8
"
                January 4, 2020
                ";23;Rising;+2;Bad Guy;Billie Eilish;25;1;39
"
                January 4, 2020
                ";24;Rising;+16;Happy Holiday / The Holiday Season;Andy Williams;40;24;4
"
                January 4, 2020
                ";25;Failing;-5;No Guidance;Chris Brown Featuring Drake;20;5;29
